"campaign","identifier","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mddina","dina","md40 n500","H","oracle","share_lower_ge_tau",100,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bound_mean",,6.7579458,0.449203,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bound_q05",,-27.018272,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bound_q25",,-5.8857687,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bound_q50",,7.277721,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bound_q75",,20.121076,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bound_q95",,39.778078,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",0,0.36973948,0.0108051,0.348831,0.391148,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",10,0.18386774,0.00867067,0.167486,0.201464,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",20,0.075651303,0.00591897,0.064848,0.0880849,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",30,0.029559118,0.00379097,0.022985,0.0379406,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",40,0.011022044,0.00233692,0.00729003,0.0166326,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",60,0.001002004,0.000708169,0.000274829,0.00364621,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",80,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","share_lower_ge_tau",100,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bound_mean",,-5.8470141,0.403145,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bound_q05",,-34.399815,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bound_q25",,-18.02306,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bound_q50",,-6.1543834,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bound_q75",,5.808722,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bound_q95",,23.605494,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",0,0.99649299,0.0013232,0.992778,0.9983,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",10,0.98997996,0.0022293,0.984573,0.993504,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",20,0.97094188,0.00375967,0.96262,0.977454,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",30,0.90480962,0.00656893,0.891146,0.916918,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",40,0.74699399,0.00973069,0.72746,0.765579,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",60,0.27905812,0.0100396,0.25982,0.299145,1996,"1856c107"
