declcal power curve -- declaration rate P(max_T_pre >= k), Wilson 95% intervals, R = 2000 per cell
source: quarto/simulations/gbsg_020/results/declcal_{bnull,inull,power}_*_res_1_2000.rds; generated 2026-09-22 16:33 PDT
fixed k: literal cutoffs on max_T_pre; calibrated: per-replicate cutoff max_T_pre >= Mstar_q{90,95,99}
bnull_same_k: boundary (complete) null rate at the same rule, matched by n (n500 -> A1, n1000 -> A2, n1500 -> A3)

| cell | DGM | n | rule | declaration rate [Wilson 95%] | bnull cell | bnull rate at same rule [Wilson 95%] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 1.6449 | 0.0300 [0.0234, 0.0384] | A3 | 0.9420 [0.9309, 0.9514] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 1.8000 | 0.0160 [0.0114, 0.0225] | A3 | 0.8955 [0.8813, 0.9082] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 2.0000 | 0.0070 [0.0042, 0.0117] | A3 | 0.8125 [0.7948, 0.8290] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 2.2000 | 0.0030 [0.0014, 0.0065] | A3 | 0.6850 [0.6643, 0.7050] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 2.4000 | 0.0020 [0.0008, 0.0051] | A3 | 0.5425 [0.5206, 0.5642] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 2.6000 | 0.0010 [0.0003, 0.0036] | A3 | 0.4015 [0.3802, 0.4232] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 2.8000 | 0.0005 [0.0001, 0.0028] | A3 | 0.2890 [0.2696, 0.3093] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 3.0000 | 0.0005 [0.0001, 0.0028] | A3 | 0.1820 [0.1657, 0.1995] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 3.2000 | 0.0000 [0.0000, 0.0019] | A3 | 0.1110 [0.0980, 0.1255] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 3.4000 | 0.0000 [0.0000, 0.0019] | A3 | 0.0620 [0.0522, 0.0734] |
