"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S5","calibrated_c080","C3",0.05,"c080","C3","2","1000",0.753,1506,2000,"declared_cal05_c080","declcalc0_power_C3_res_1_2000.rds"
"S5","calibrated_c080","C4",0.05,"c080","C4","2","1500",0.9275,1855,2000,"declared_cal05_c080","declcalc0_power_C4_res_1_2000.rds"
"S5","calibrated_c085","B1",0.05,"c085","B1","0.657","500",5e-04,1,2000,"declared_cal05_c085","declcalc0_inull_B1_res_1_2000.rds"
"S5","calibrated_c085","B2",0.05,"c085","B2","0.657","1000",5e-04,1,2000,"declared_cal05_c085","declcalc0_inull_B2_res_1_2000.rds"
"S5","calibrated_c085","B3",0.05,"c085","B3","0.657","1500",0,0,2000,"declared_cal05_c085","declcalc0_inull_B3_res_1_2000.rds"
"S5","calibrated_c085","B4",0.05,"c085","B4","0.721","500",0.001,2,2000,"declared_cal05_c085","declcalc0_inull_B4_res_1_2000.rds"
"S5","calibrated_c085","B5",0.05,"c085","B5","0.721","1000",0.001,2,2000,"declared_cal05_c085","declcalc0_inull_B5_res_1_2000.rds"
"S5","calibrated_c085","B6",0.05,"c085","B6","0.721","1500",0.001,2,2000,"declared_cal05_c085","declcalc0_inull_B6_res_1_2000.rds"
"S5","calibrated_c085","max_B",0.05,"c085","B4;B5;B6","0.721","500;1000;1500",0.001,2,2000,"declared_cal05_c085","declcalc0_inull_B4_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S5","calibrated_c085","C1",0.05,"c085","C1","1.5","1000",0.188,376,2000,"declared_cal05_c085","declcalc0_power_C1_res_1_2000.rds"
"S5","calibrated_c085","C2",0.05,"c085","C2","1.5","1500",0.3625,725,2000,"declared_cal05_c085","declcalc0_power_C2_res_1_2000.rds"
"S5","calibrated_c085","C3",0.05,"c085","C3","2","1000",0.676,1352,2000,"declared_cal05_c085","declcalc0_power_C3_res_1_2000.rds"
"S5","calibrated_c085","C4",0.05,"c085","C4","2","1500",0.882,1764,2000,"declared_cal05_c085","declcalc0_power_C4_res_1_2000.rds"
"S5","conventional","max_B",0.05,,"B4","0.721","500",0.2325,465,2000,"declared_conv","declcalc0_inull_B4_res_1_2000.rds"
"S5","conventional","C1",0.05,,"C1","1.5","1000",0.6985,1397,2000,"declared_conv","declcalc0_power_C1_res_1_2000.rds"
