"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S6","calibrated_c070","kappa_median_of_cell_medians_Bcells",0.05,"c070","B1;B4","0.657;0.721","500",2.45104456165665,,2,"kappa_hat_05_c070","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","level_median_of_cell_medians_Bcells",0.05,"c070","B1;B4","0.657;0.721","500",0.985755768217121,,2,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","kappa_pooled_median_allcells",0.05,"c070","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.08128811408004,,8000,"kappa_hat_05_c070","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c070","level_pooled_median_allcells",0.05,"c070","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.962592457558494,,8000,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c070","kappa_median_of_cell_medians_allcells",0.05,"c070","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.07171849654341,,4,"kappa_hat_05_c070","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c070","level_median_of_cell_medians_allcells",0.05,"c070","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.961708298643309,,4,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c070","kappa_pooled_median_Bcells",0.05,"c070","B2;B5","0.657;0.721","1000",2.09783601934118,,4000,"kappa_hat_05_c070","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c070","level_pooled_median_Bcells",0.05,"c070","B2;B5","0.657;0.721","1000",0.964080366534953,,4000,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c070","kappa_median_of_cell_medians_Bcells",0.05,"c070","B2;B5","0.657;0.721","1000",2.09836135375582,,2,"kappa_hat_05_c070","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c070","level_median_of_cell_medians_Bcells",0.05,"c070","B2;B5","0.657;0.721","1000",0.964126763529168,,2,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c070","kappa_pooled_median_allcells",0.05,"c070","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",1.76567742399081,,8000,"kappa_hat_05_c070","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c070","level_pooled_median_allcells",0.05,"c070","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.922550017575203,,8000,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c070","kappa_median_of_cell_medians_allcells",0.05,"c070","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",1.7545217942105,,4,"kappa_hat_05_c070","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c070","level_median_of_cell_medians_allcells",0.05,"c070","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.920658861177956,,4,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c070","kappa_pooled_median_Bcells",0.05,"c070","B3;B6","0.657;0.721","1500",1.78047223690885,,4000,"kappa_hat_05_c070","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c070","level_pooled_median_Bcells",0.05,"c070","B3;B6","0.657;0.721","1500",0.925001291019342,,4000,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c070","kappa_median_of_cell_medians_Bcells",0.05,"c070","B3;B6","0.657;0.721","1500",1.78073316555493,,2,"kappa_hat_05_c070","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c070","level_median_of_cell_medians_Bcells",0.05,"c070","B3;B6","0.657;0.721","1500",0.925043947646517,,2,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c075","kappa_pooled_median_allcells",0.05,"c075","B1;B4","0.657;0.721","500",2.65347660082776,,4000,"kappa_hat_05_c075","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","level_pooled_median_allcells",0.05,"c075","B1;B4","0.657;0.721","500",0.992033270601863,,4000,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","kappa_median_of_cell_medians_allcells",0.05,"c075","B1;B4","0.657;0.721","500",2.65283751792205,,2,"kappa_hat_05_c075","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","level_median_of_cell_medians_allcells",0.05,"c075","B1;B4","0.657;0.721","500",0.992018171704058,,2,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","kappa_pooled_median_Bcells",0.05,"c075","B1;B4","0.657;0.721","500",2.65347660082776,,4000,"kappa_hat_05_c075","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","level_pooled_median_Bcells",0.05,"c075","B1;B4","0.657;0.721","500",0.992033270601863,,4000,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","kappa_median_of_cell_medians_Bcells",0.05,"c075","B1;B4","0.657;0.721","500",2.65283751792205,,2,"kappa_hat_05_c075","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","level_median_of_cell_medians_Bcells",0.05,"c075","B1;B4","0.657;0.721","500",0.992018171704058,,2,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c075","kappa_pooled_median_allcells",0.05,"c075","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.34231972576846,,8000,"kappa_hat_05_c075","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c075","level_pooled_median_allcells",0.05,"c075","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.98083571026229,,8000,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c075","kappa_median_of_cell_medians_allcells",0.05,"c075","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.33349032993428,,4,"kappa_hat_05_c075","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c075","level_median_of_cell_medians_allcells",0.05,"c075","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.980377574729707,,4,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c075","kappa_pooled_median_Bcells",0.05,"c075","B2;B5","0.657;0.721","1000",2.35738884222603,,4000,"kappa_hat_05_c075","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c075","level_pooled_median_Bcells",0.05,"c075","B2;B5","0.657;0.721","1000",0.981596035672293,,4000,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c075","kappa_median_of_cell_medians_Bcells",0.05,"c075","B2;B5","0.657;0.721","1000",2.35711577088807,,2,"kappa_hat_05_c075","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c075","level_median_of_cell_medians_Bcells",0.05,"c075","B2;B5","0.657;0.721","1000",0.981582496020972,,2,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c075","kappa_pooled_median_allcells",0.05,"c075","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",2.07408899034695,,8000,"kappa_hat_05_c075","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c075","level_pooled_median_allcells",0.05,"c075","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.961928953119708,,8000,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c075","kappa_median_of_cell_medians_allcells",0.05,"c075","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",2.06545079176313,,4,"kappa_hat_05_c075","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c075","level_median_of_cell_medians_allcells",0.05,"c075","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.961119633030385,,4,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c075","kappa_pooled_median_Bcells",0.05,"c075","B3;B6","0.657;0.721","1500",2.08919896132681,,4000,"kappa_hat_05_c075","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c075","level_pooled_median_Bcells",0.05,"c075","B3;B6","0.657;0.721","1500",0.963310183097386,,4000,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c075","kappa_median_of_cell_medians_Bcells",0.05,"c075","B3;B6","0.657;0.721","1500",2.08918241391873,,2,"kappa_hat_05_c075","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c075","level_median_of_cell_medians_Bcells",0.05,"c075","B3;B6","0.657;0.721","1500",0.963308694135344,,2,"2*pnorm(kappa_hat_05_c075)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c080","kappa_pooled_median_allcells",0.05,"c080","B1;B4","0.657;0.721","500",2.84969424851025,,4000,"kappa_hat_05_c080","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","level_pooled_median_allcells",0.05,"c080","B1;B4","0.657;0.721","500",0.995623872541292,,4000,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","kappa_median_of_cell_medians_allcells",0.05,"c080","B1;B4","0.657;0.721","500",2.84846279814168,,2,"kappa_hat_05_c080","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","level_median_of_cell_medians_allcells",0.05,"c080","B1;B4","0.657;0.721","500",0.995606901086613,,2,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","kappa_pooled_median_Bcells",0.05,"c080","B1;B4","0.657;0.721","500",2.84969424851025,,4000,"kappa_hat_05_c080","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","level_pooled_median_Bcells",0.05,"c080","B1;B4","0.657;0.721","500",0.995623872541292,,4000,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","kappa_median_of_cell_medians_Bcells",0.05,"c080","B1;B4","0.657;0.721","500",2.84846279814168,,2,"kappa_hat_05_c080","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","level_median_of_cell_medians_Bcells",0.05,"c080","B1;B4","0.657;0.721","500",0.995606901086613,,2,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c080","kappa_pooled_median_allcells",0.05,"c080","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.59512832308466,,8000,"kappa_hat_05_c080","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c080","level_pooled_median_allcells",0.05,"c080","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.990544439099387,,8000,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c080","kappa_median_of_cell_medians_allcells",0.05,"c080","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.58902897407418,,4,"kappa_hat_05_c080","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c080","level_median_of_cell_medians_allcells",0.05,"c080","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.990375300418273,,4,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c080","kappa_pooled_median_Bcells",0.05,"c080","B2;B5","0.657;0.721","1000",2.61009518408822,,4000,"kappa_hat_05_c080","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c080","level_pooled_median_Bcells",0.05,"c080","B2;B5","0.657;0.721","1000",0.990948296696843,,4000,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c080","kappa_median_of_cell_medians_Bcells",0.05,"c080","B2;B5","0.657;0.721","1000",2.60942505387876,,2,"kappa_hat_05_c080","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c080","level_median_of_cell_medians_Bcells",0.05,"c080","B2;B5","0.657;0.721","1000",0.990930548980467,,2,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c080","kappa_pooled_median_allcells",0.05,"c080","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",2.37561509206623,,8000,"kappa_hat_05_c080","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c080","level_pooled_median_allcells",0.05,"c080","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.982480272271957,,8000,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c080","kappa_median_of_cell_medians_allcells",0.05,"c080","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",2.36725970504099,,4,"kappa_hat_05_c080","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c080","level_median_of_cell_medians_allcells",0.05,"c080","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.982079647126041,,4,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c080","kappa_pooled_median_Bcells",0.05,"c080","B3;B6","0.657;0.721","1500",2.38981634145298,,4000,"kappa_hat_05_c080","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c080","level_pooled_median_Bcells",0.05,"c080","B3;B6","0.657;0.721","1500",0.983143200069881,,4000,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c080","kappa_median_of_cell_medians_Bcells",0.05,"c080","B3;B6","0.657;0.721","1500",2.38845864598316,,2,"kappa_hat_05_c080","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c080","level_median_of_cell_medians_Bcells",0.05,"c080","B3;B6","0.657;0.721","1500",0.983080787664428,,2,"2*pnorm(kappa_hat_05_c080)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c085","kappa_pooled_median_allcells",0.05,"c085","B1;B4","0.657;0.721","500",3.03973791494871,,4000,"kappa_hat_05_c085","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","level_pooled_median_allcells",0.05,"c085","B1;B4","0.657;0.721","500",0.997632158987283,,4000,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","kappa_median_of_cell_medians_allcells",0.05,"c085","B1;B4","0.657;0.721","500",3.04047294598312,,2,"kappa_hat_05_c085","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","level_median_of_cell_medians_allcells",0.05,"c085","B1;B4","0.657;0.721","500",0.997637930885696,,2,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","kappa_pooled_median_Bcells",0.05,"c085","B1;B4","0.657;0.721","500",3.03973791494871,,4000,"kappa_hat_05_c085","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","level_pooled_median_Bcells",0.05,"c085","B1;B4","0.657;0.721","500",0.997632158987283,,4000,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","kappa_median_of_cell_medians_Bcells",0.05,"c085","B1;B4","0.657;0.721","500",3.04047294598312,,2,"kappa_hat_05_c085","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","level_median_of_cell_medians_Bcells",0.05,"c085","B1;B4","0.657;0.721","500",0.997637930885696,,2,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c085","kappa_pooled_median_allcells",0.05,"c085","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.84497818879492,,8000,"kappa_hat_05_c085","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c085","level_pooled_median_allcells",0.05,"c085","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.99555855357866,,8000,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c085","kappa_median_of_cell_medians_allcells",0.05,"c085","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",2.83835637667764,,4,"kappa_hat_05_c085","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c085","level_median_of_cell_medians_allcells",0.05,"c085","B2;B5;C1;C3","0.657;0.721;1.5;2","1000",0.995465347825788,,4,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds"
"S6","calibrated_c085","kappa_pooled_median_Bcells",0.05,"c085","B2;B5","0.657;0.721","1000",2.85672585944209,,4000,"kappa_hat_05_c085","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c085","level_pooled_median_Bcells",0.05,"c085","B2;B5","0.657;0.721","1000",0.995719646485029,,4000,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c085","kappa_median_of_cell_medians_Bcells",0.05,"c085","B2;B5","0.657;0.721","1000",2.85563335937216,,2,"kappa_hat_05_c085","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c085","level_median_of_cell_medians_Bcells",0.05,"c085","B2;B5","0.657;0.721","1000",0.995704891927593,,2,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds"
"S6","calibrated_c085","kappa_pooled_median_allcells",0.05,"c085","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",2.67383592466714,,8000,"kappa_hat_05_c085","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c085","level_pooled_median_allcells",0.05,"c085","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.992501086962439,,8000,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c085","kappa_median_of_cell_medians_allcells",0.05,"c085","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",2.66725896429079,,4,"kappa_hat_05_c085","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c085","level_median_of_cell_medians_allcells",0.05,"c085","B3;B6;C2;C4","0.657;0.721;1.5;2","1500",0.99235272783947,,4,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S6","calibrated_c085","kappa_pooled_median_Bcells",0.05,"c085","B3;B6","0.657;0.721","1500",2.68532429211984,,4000,"kappa_hat_05_c085","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c085","level_pooled_median_Bcells",0.05,"c085","B3;B6","0.657;0.721","1500",0.99275405373115,,4000,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c085","kappa_median_of_cell_medians_Bcells",0.05,"c085","B3;B6","0.657;0.721","1500",2.68517411841942,,2,"kappa_hat_05_c085","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","calibrated_c085","level_median_of_cell_medians_Bcells",0.05,"c085","B3;B6","0.657;0.721","1500",0.99275079701415,,2,"2*pnorm(kappa_hat_05_c085)-1","declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds"
"S6","claim_threshold","kappa_pooled_median_allcells",0.05,,"B1;B4","0.657;0.721","500",3.59747087377389,,4000,"kappa_hat_05","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S6","claim_threshold","level_pooled_median_allcells",0.05,,"B1;B4","0.657;0.721","500",0.999678673535242,,4000,"2*pnorm(kappa_hat_05)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S6","claim_threshold","kappa_median_of_cell_medians_allcells",0.05,,"B1;B4","0.657;0.721","500",3.59767293883117,,2,"kappa_hat_05","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S6","claim_threshold","level_median_of_cell_medians_allcells",0.05,,"B1;B4","0.657;0.721","500",0.999678922993562,,2,"2*pnorm(kappa_hat_05)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S6","claim_threshold","kappa_pooled_median_Bcells",0.05,,"B1;B4","0.657;0.721","500",3.59747087377389,,4000,"kappa_hat_05","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S6","claim_threshold","level_pooled_median_Bcells",0.05,,"B1;B4","0.657;0.721","500",0.999678673535242,,4000,"2*pnorm(kappa_hat_05)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S6","claim_threshold","kappa_median_of_cell_medians_Bcells",0.05,,"B1;B4","0.657;0.721","500",3.59767293883117,,2,"kappa_hat_05","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
