"sim_id","detected","n_true","rule_new","rule_old","rule_same","n_harm_new","n_harm_old","sens_new","sens_old","oracle_new","oracle_old","naive_new","naive_old","betaHhat_new","betaHhat_old","FB_new","FB_old","FB_diff","MR_new","MR_old","MR_diff","MRse_new","MRse_old","MRse_diff"
1,1,56,"{size <= 25} & {age <= 52}","{size <= 25} & {age <= 52}",TRUE,115,115,0.446428571428571,0.446428571428571,1.36273032054304,1.36273032054304,1.33944423481095,1.33944423481095,0.721201760098601,0.721201760098601,0.959275107115427,0.96489892739805,-0.00562382028262254,0.680241033264457,0.76141106706557,-0.081170033801114,0.369423868394271,0.31488675641547,0.0545371119788002
2,1,77,"!{size <= 25} & !{nodes <= 6}","!{size <= 25} & !{nodes <= 6}",TRUE,69,69,0.155844155844156,0.155844155844156,0.484134153775706,0.484134153775706,1.37505906725124,1.37505906725124,0.659640614162852,0.659640614162852,0.984251257895589,0.996142812542313,-0.011891554646724,0.759380713690107,0.862200238484885,-0.102819524794778,0.278109029209026,0.249198138673679,0.0289108905353471
3,1,55,"{er <= 3} & {nodes <= 7}","{er <= 3} & {nodes <= 7}",TRUE,68,68,0.490909090909091,0.490909090909091,1.66627758107827,1.66627758107827,1.81125566346975,1.81125566346975,0.795442439189092,0.795442439189092,1.39987434708291,1.39852463254664,0.00134971453626975,0.92772018167326,1.14436236463248,-0.216642182959223,0.422481840097236,0.400050021934431,0.0224318181628048
4,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,57,"{er <= 10} & !{meno}","{er <= 10} & !{meno}",TRUE,63,63,1,1,1.42437071693951,1.42437071693951,1.74424114439547,1.74424114439547,0.947361711930283,0.947361711930283,1.3583390551191,1.35670164979748,0.0016374053216186,1.0893996546959,1.21254375371713,-0.123144099021232,0.407534219418948,0.403608402847099,0.00392581657184832
7,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,59,"!{meno} & {pgr <= 26}","!{meno} & {pgr <= 26}",TRUE,96,96,0.898305084745763,0.898305084745763,1.37174879435333,1.37174879435333,1.2533556742949,1.2533556742949,0.812265065323252,0.812265065323252,0.927742699667554,0.933684228897392,-0.00594152922983815,0.72101118119489,0.795972115567999,-0.0749609343731091,0.267604391003326,0.246958221126946,0.0206461698763805
10,1,58,"!{size <= 35} & !{nodes <= 1}","!{size <= 35} & !{nodes <= 1}",TRUE,83,83,0.224137931034483,0.224137931034483,0.641378026638114,0.641378026638114,1.27097503978552,1.27097503978552,0.674492494639786,0.674492494639786,0.925632353907818,0.923831989392016,0.00180036451580123,0.659513810264588,0.728004916943979,-0.0684911066793903,0.31971923318912,0.2734314924827,0.0462877407064199
11,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,52,"{size <= 35} & !{size <= 26}","{size <= 35} & !{size <= 26}",TRUE,134,134,0.307692307692308,0.307692307692308,1.12432378826979,1.12432378826979,1.2312484337064,1.2312484337064,0.681325377896784,0.681325377896784,0.903062961718427,0.904110961105648,-0.00104799938722067,0.63390182487517,0.706510847286979,-0.0726090224118093,0.328491351221004,0.266393352910604,0.0620979983103996
13,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,70,"{nodes <= 3} & {er <= 12}","{nodes <= 3} & {er <= 12}",TRUE,79,79,0.357142857142857,0.357142857142857,0.896732051272801,0.896732051272801,1.86086614466719,1.86086614466719,0.721579829513465,0.721579829513465,1.34436724520272,1.34517168075193,-0.000804435549206506,1.10578165918668,1.08127074063989,0.0245109185467913,0.477641483500492,0.432071593260409,0.0455698902400831
